,Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Amateur_Built,Number_Of_Engines,Engine_Type,Purpose_Of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Report_Status,Publication_Date,Total_Passengers,Fatal_Injuries_Rate,Uninjured_Rate
24624,20001213X29893,Accident,ANC90FA020,1989-12-15,"ANCHORAGE, AK",United States,NONE,,Non-Fatal,Substantial,PHBFC,Boeing,747-400,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,245.0,IMC,Descent,Probable Cause,30-06-1992,245.0,0.0,1.0
24639,20001213X29982,Accident,LAX90LA055,1989-12-21,"SANTA ANA, CA",United States,SNA,ORANGE COUNTY,Non-Fatal,Substantial,N611AM,Boeing,757-223,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,111.0,VMC,Landing,Probable Cause,30-06-1992,111.0,0.0,1.0
24659,20001213X29997,Accident,MIA90LA042,1989-12-27,"MIAMI, FL",United States,,,Fatal(1),,N822EA,Boeing,727-225B,No,3.0,Turbo Jet,Unknown,1.0,0.0,0.0,53.0,VMC,Cruise,Probable Cause,30-09-1991,54.0,0.018518518518518517,0.9814814814814815
24690,20001213X29969,Accident,LAX90FA061,1989-12-30,"TUCSON, AZ",United States,TUS,TUCSON INT'L,Non-Fatal,Substantial,N198AW,Boeing,737-204,No,2.0,Turbo Fan,Unknown,0.0,0.0,10.0,123.0,VMC,Descent,Probable Cause,07-10-1992,133.0,0.0,0.924812030075188
24700,20001212X22451,Incident,MIA90IA047,1990-01-04,"MADISON, FL",United States,,,Incident,Minor,N2280,Boeing,727-251,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,145.0,VMC,Cruise,Probable Cause,30-12-1992,145.0,0.0,1.0
24730,20001212X22387,Incident,CHI90IA064,1990-01-10,"DETROIT, MI",United States,,,Incident,Minor,N602US,Boeing,747-151,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,2.0,UNK,Unknown,Probable Cause,10-05-1993,2.0,0.0,1.0
24743,20001212X22407,Accident,DEN90LA040,1990-01-12,"FT COLLINS, CO",United States,3V5,FT COLLINS DOWNTOWN,Non-Fatal,Substantial,N49733,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-06-1991,2.0,0.0,1.0
24764,20001212X22410,Accident,DEN90LA046,1990-01-16,"NEW YORK, NY",United States,LGA,LA GUARDIA,Non-Fatal,Substantial,N505UA,Boeing,757-222,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,176.0,VMC,Takeoff,Probable Cause,05-09-1991,176.0,0.0,1.0
24776,20001212X22400,Accident,DCA90MA017B,1990-01-18,"ATLANTA, GA",United States,ATL,HARTSFIELD-ATLANTA INTL,Fatal(1),Substantial,N8867E,Boeing,727,No,3.0,Turbo Fan,Unknown,1.0,1.0,0.0,157.0,VMC,Landing,Probable Cause,03-05-1993,159.0,0.006289308176100629,0.9874213836477987
24788,20001212X22388,Incident,CHI90IA070,1990-01-20,"CEDAR RAPIDS, IA",United States,CID,CEDAR RAPIDS MUNI,Incident,Minor,N338UA,Boeing,B737-300,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,72.0,VMC,Takeoff,Probable Cause,10-05-1993,72.0,0.0,1.0
24810,20001212X22401,Accident,DCA90MA019,1990-01-25,"COVE NECK, NY",United States,JFK,JFK INTL,Fatal(73),Destroyed,HK201,Boeing,707-321B,No,4.0,Turbo Fan,Unknown,73.0,81.0,4.0,0.0,IMC,Approach,Probable Cause,10-05-1993,158.0,0.4620253164556962,0.0
24835,20001212X22386,Accident,CHI90FA075,1990-01-31,"INDIANAPOLIS, IN",United States,IND,INDIANAPOLIS INTL,Fatal(1),Minor,N519FT,Boeing,727,No,3.0,Turbo Fan,,1.0,0.0,0.0,6.0,VMC,Standing,Probable Cause,10-07-1992,7.0,0.14285714285714285,0.8571428571428571
24894,20001212X22607,Incident,MIA90IA070,1990-02-12,"SARASOTA, FL",United States,,,Incident,Minor,N8889Z,Boeing,727-225A,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,150.0,VMC,Cruise,Probable Cause,30-12-1992,150.0,0.0,1.0
24907,20001212X22632,Incident,SEA90IA042,1990-02-14,"EVERETT, WA",United States,PAE,PAINE FLD,Incident,Minor,NONE,Boeing,747-446B,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,7.0,VMC,Landing,Probable Cause,30-12-1992,7.0,0.0,1.0
24920,20001212X22515,Incident,BFO90IA028,1990-02-17,"WASHINGTON, DC",United States,IAD,DULLES INTL.,Incident,Minor,N902TS,Boeing,B-727-29,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,86.0,VMC,Approach,Probable Cause,30-12-1992,86.0,0.0,1.0
24957,20001212X22523,Incident,CHI90IA090,1990-02-23,"CLEVELAND, OH",United States,CLE,HOPKINS,Incident,,N202AU,Boeing,737-200,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,63.0,IMC,Taxi,Probable Cause,08-12-1992,63.0,0.0,1.0
25056,20001212X22742,Accident,LAX90LA116,1990-03-13,"PHOENIX, AZ",United States,PHX,PHOENIX SKY,Fatal(1),Minor,N271AF,Boeing,727-227,No,3.0,Turbo Jet,Unknown,1.0,0.0,0.0,41.0,VMC,Takeoff,Probable Cause,28-09-1992,42.0,0.023809523809523808,0.9761904761904762
25080,20001212X22748,Accident,LAX90LA122,1990-03-16,"SANTA ANA, CA",United States,SNA,JOHN WAYNE,Non-Fatal,Substantial,N306AW,Boeing,737-300,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,110.0,VMC,Takeoff,Probable Cause,14-12-1992,110.0,0.0,1.0
25081,20001212X22783,Incident,MKC90IA070,1990-03-17,"WICHITA, KS",United States,ICT,WICHITA MID-CONTINENT,Incident,Minor,N17317,Boeing,737-300,No,2.0,Turbo Fan,Unknown,0.0,0.0,1.0,135.0,VMC,Takeoff,Probable Cause,30-12-1992,136.0,0.0,0.9926470588235294
25261,20001212X22990,Accident,MKC90LA085,1990-04-14,"PLEASANT GROVE, AR",United States,,,Non-Fatal,Substantial,N1902M,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,05-03-1993,1.0,0.0,0.0
25336,20001212X22969,Incident,MIA90IA109,1990-04-24,"MIAMI, FL",United States,,MIAMI INTERNATIONAL,Incident,Minor,CCCYB,Boeing,707-321B,No,4.0,Turbo Jet,Unknown,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,30-12-1992,3.0,0.0,1.0
25456,20001212X23082,Accident,BFO90LA043,1990-05-11,"WASHINGTON, DC",United States,IAD,DULLES INTL,Non-Fatal,,N990UA,Boeing,B-737,No,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,4.0,VMC,Descent,Probable Cause,21-09-1992,5.0,0.0,0.8
25482,20001212X23213,Accident,MIA90LA122A,1990-05-15,"DAYTONA BEACH, FL",United States,DAB,DAYTONA BEACH,Non-Fatal,Minor,N50072,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,29-09-1992,4.0,0.0,1.0
25652,20001212X23372,Accident,DCA90MA030,1990-06-02,"UNALAKLEET, AK",United States,UNK,UNAKALEET,Non-Fatal,Destroyed,N670MA,Boeing,737-2X6C,No,2.0,Turbo Fan,Unknown,0.0,1.0,3.0,0.0,IMC,Approach,Probable Cause,03-05-1993,4.0,0.0,0.0
25681,20001212X23405,Accident,FTW90DPA04,1990-06-04,"LONGVIEW, TX",United States,GGG,GREGG COUNTY,Non-Fatal,Substantial,N27933,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,09-11-1992,2.0,0.0,1.0
25712,20001212X23424,Accident,FTW90LA117,1990-06-08,"WATONGA, OK",United States,OK78,WATONGA,Non-Fatal,Substantial,N55292,Boeing,E75,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,02-10-1992,2.0,0.0,1.0
25775,20001212X23524,Accident,NYC90LA132A,1990-06-16,"JAMAICA, NY",United States,JFK,JOHN F. KENNEDY,Non-Fatal,Minor,IDEMC,Boeing,747-230,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,133.0,VMC,Taxi,Probable Cause,02-10-1992,133.0,0.0,1.0
25797,20001212X23364,Accident,CHI90LA156,1990-06-17,"AURORA, IL",United States,ARR,AURORA MINICIPAL,Non-Fatal,Substantial,N59448,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,04-09-1992,1.0,0.0,1.0
25819,20001212X23320,Accident,ATL90FA135,1990-06-21,"CHARLESTON, SC",United States,CHS,CHARLESTON INTERNATIONAL,Non-Fatal,,N743US,Boeing,727-281,No,3.0,Turbo Jet,Unknown,0.0,2.0,2.0,116.0,VMC,Descent,Probable Cause,09-11-1992,120.0,0.0,0.9666666666666667
25919,20001212X23533,Accident,NYC90LA143,1990-06-30,"GROTON, CT",United States,GON,GROTON,Fatal(1),Substantial,N1205V,Boeing,A75L3,No,1.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,12-03-1993,1.0,1.0,0.0
25942,20001212X23700,Accident,FTW90LA130,1990-07-02,"SAN ANTONIO, TX",United States,T94,TWIN OAKS,Non-Fatal,Substantial,N66302,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,15-09-1992,1.0,0.0,0.0
26043,20001212X23759,Accident,MIA90LA152,1990-07-14,"MIAMI, FL",United States,,,Non-Fatal,,GAWNL,Boeing,747-136,No,4.0,Turbo Fan,Unknown,0.0,2.0,18.0,363.0,IMC,Descent,Probable Cause,23-11-1992,383.0,0.0,0.9477806788511749
26081,20001212X23762,Accident,MIA90LA155,1990-07-18,"FORT MYERS, FL",United States,,,Non-Fatal,,N6834,Boeing,727-223,No,3.0,Turbo Fan,Unknown,0.0,1.0,1.0,150.0,IMC,Descent,Probable Cause,28-09-1992,152.0,0.0,0.9868421052631579
26113,20001212X23764,Accident,MIA90LA157,1990-07-21,"PLANT CITY, FL",United States,X17,PLANT CITY MUNICIPAL,Non-Fatal,Substantial,N4429N,Boeing,B75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,15-09-1992,1.0,0.0,1.0
26125,20001212X23595,Accident,ATL90FA146,1990-07-22,"KINSTON, NC",United States,ISO,KINSTON REGIONAL JETPORT,Non-Fatal,Substantial,N210US,Boeing,737-222,No,2.0,Turbo Fan,Unknown,0.0,0.0,2.0,25.0,VMC,Takeoff,Probable Cause,12-03-1993,27.0,0.0,0.9259259259259259
26223,20001212X23929,Accident,CHI90FA212,1990-08-02,"OSHKOSH, WI",United States,OSH,WITTMAN FIELD,Fatal(1),Destroyed,N25400,Boeing,A75N1,No,1.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,09-11-1992,1.0,1.0,0.0
26245,20001212X24145,Accident,SEA90TL#07,1990-08-04,"LEAVENWORTH, WA",United States,,,Non-Fatal,Destroyed,N6672D,Boeing,107-11,No,2.0,Turbo Shaft,Public Aircraft,0.0,0.0,2.0,0.0,UNK,,Factual,06-02-1995,2.0,0.0,0.0
26307,20001212X24012,Accident,FTW90LA156,1990-08-09,"CORPUS CHRISTI, TX",United States,,,Non-Fatal,,N327SW,Boeing,B-737-300,No,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,75.0,VMC,Cruise,Probable Cause,08-12-1992,76.0,0.0,0.9868421052631579
26315,20001212X23969,Incident,DCA90IA048,1990-08-10,"CHICAGO, IL",United States,,,Incident,Minor,N306US,Airbus,A320-211,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,159.0,VMC,Unknown,Probable Cause,10-11-1994,159.0,0.0,1.0
26330,20001212X24131,Incident,SEA90IA161,1990-08-12,"BELGRADE, MT",United States,BZN,GALLATIN FLD,Incident,Minor,N69735,Boeing,727-224,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,157.0,VMC,Takeoff,Probable Cause,30-12-1992,157.0,0.0,1.0
26334,20001212X23970,Accident,DCA90WA045,1990-08-12,"PARIS, France",France,,,Non-Fatal,,N803PA,Airbus,A-310,No,0.0,Unknown,Unknown,0.0,1.0,3.0,154.0,VMC,,Foreign,07-02-1995,158.0,0.0,0.9746835443037974
26360,20001212X24110,Accident,NYC90LA194,1990-08-15,"BURDETT, NY",United States,NK09,ENGLE RIDGE,Non-Fatal,Destroyed,N7772J,Boeing,A75,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,09-11-1992,2.0,0.0,0.5
26438,20001212X24007,Incident,FTW90IA169,1990-08-25,"COLLEGE STATION, TX",United States,CLL,EASTERWOOD FIELD,Incident,,N33701,Embraer,EMB-120,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,8.0,VMC,Takeoff,Probable Cause,19-12-1994,8.0,0.0,1.0
26473,20001212X24039,Incident,LAX90IA305,1990-08-27,"LOS ANGELES, CA",United States,LAX,LOS ANGELES INTL.,Incident,Minor,N174UA,Boeing,747-422,No,4.0,Turbo Fan,Unknown,0.0,0.0,25.0,320.0,VMC,Landing,Probable Cause,30-12-1992,345.0,0.0,0.927536231884058
26507,20001212X24069,Accident,LAX90LA309,1990-08-31,"PETALUMA, CA",United States,069,PETALUMA,Non-Fatal,Substantial,N5358N,Boeing,E75,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Go-around,Probable Cause,15-12-1992,1.0,0.0,1.0
26540,20001212X24219,Accident,CHI90LA256,1990-09-05,"MARSEILLES, IL",United States,,,Non-Fatal,Substantial,N62438,Boeing,B75N1,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Cruise,Probable Cause,28-09-1992,2.0,0.0,0.0
26577,20001212X24351,Incident,NYC90IA219,1990-09-09,"NEW YORK CITY, NY",United States,LGA,LAGUARDIA,Incident,,N74317,Boeing,727-231,No,3.0,Turbo Jet,Unknown,0.0,0.0,3.0,150.0,VMC,Taxi,Probable Cause,30-12-1992,153.0,0.0,0.9803921568627451
26653,20001212X24243,Incident,DEN90IA189,1990-09-19,"DENVER, CO",United States,DEN,STAPLETON INTL,Incident,,N9044U,Boeing,737-222,No,2.0,Turbo Jet,Unknown,0.0,0.0,2.0,94.0,VMC,Taxi,Probable Cause,10-05-1993,96.0,0.0,0.9791666666666666
26657,20001212X24238,Accident,DCA90MA055,1990-09-20,"MARANA, AZ",United States,,PINAL AIRPARK,Fatal(1),Destroyed,N320MJ,Boeing,707-321B,No,4.0,Turbo Fan,Ferry,1.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,15-01-1992,3.0,0.3333333333333333,0.0
26736,20001212X24215,Accident,CHI90FA278,1990-09-28,"DETROIT, MI",United States,DTW,DETROIT METROPOLITAN,Non-Fatal,Minor,N278US,Boeing,727-251,No,3.0,Turbo Fan,Unknown,0.0,2.0,2.0,128.0,VMC,Taxi,Probable Cause,12-03-1993,132.0,0.0,0.9696969696969697
26828,20001212X24497,Accident,LAX91LA024B,1990-10-12,"WATSONVILLE, CA",United States,WVI,WATSONVILLE,Non-Fatal,Minor,N65544,Boeing,B75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Standing,Probable Cause,23-11-1992,3.0,0.0,1.0
27097,20001212X24751,Accident,DCA91MA010B,1990-12-03,"ROMULUS, MI",United States,DTW,DETROIT METRO/WAYNE CNTY,Fatal(8),Substantial,N278US,Boeing,727-251,No,3.0,Turbo Fan,Unknown,8.0,10.0,26.0,154.0,IMC,Takeoff,Probable Cause,03-05-1993,198.0,0.04040404040404041,0.7777777777777778
27105,20001212X24734,Incident,CHI91IA041,1990-12-05,"DETROIT, MI",United States,DTW,DETROIT,Incident,Minor,N715RC,Boeing,727-257,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,76.0,VMC,Standing,Probable Cause,30-12-1992,76.0,0.0,1.0
27170,20001212X24753,Incident,DEN91IA028,1990-12-19,"DENVER, CO",United States,,,Incident,Minor,N40486,Boeing,727-22,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,125.0,IMC,Takeoff,Probable Cause,30-12-1992,125.0,0.0,1.0
27222,20001212X16272,Incident,CHI91IA058,1991-01-03,"DES MOINES, IA",United States,DSM,DES MOINES INTERNATIONAL,Incident,,N6821,Boeing,B727-223,No,3.0,Turbo Jet,Unknown,0.0,0.0,2.0,102.0,VMC,Taxi,Probable Cause,08-02-1993,104.0,0.0,0.9807692307692307
27238,20001212X16273,Incident,CHI91IA062,1991-01-07,"KANSAS CITY, MO",United States,MCI,KANSAS CITY INT'L,Incident,,N396UA,Boeing,737-322,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,36.0,IMC,Takeoff,Probable Cause,04-12-1992,36.0,0.0,1.0
27296,20001212X16275,Incident,CHI91IA078,1991-01-20,"ST. PAUL, MN",United States,MSP,MINEAPOLIS ST. PAUL,Incident,Minor,N295US,Boeing,727-251,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,44.0,VMC,,Probable Cause,28-09-1992,44.0,0.0,1.0
27318,20001212X16302,Accident,CHI91LA087,1991-01-25,"INDIANAPOLIS, IN",United States,IND,INDIANAPOLIS,Non-Fatal,,N815AA,Boeing,727-200,No,3.0,Turbo Jet,Unknown,0.0,1.0,0.0,92.0,VMC,Standing,Probable Cause,05-05-1993,93.0,0.0,0.989247311827957
27347,20001212X16433,Accident,DCA91MA018A,1991-02-01,"LOS ANGELES, CA",United States,LAX,LOS ANGELES INTERNATIONAL,Fatal(34),Destroyed,N388US,Boeing,737-300,No,2.0,Turbo Fan,Unknown,34.0,13.0,17.0,37.0,VMC,Landing,Probable Cause,05-08-1993,101.0,0.33663366336633666,0.36633663366336633
27393,20001212X16457,Accident,LAX91FA094,1991-02-09,"SONOMA, CA",United States,,,Fatal(2),Destroyed,N1065M,Boeing,N2S-3,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,23-07-1993,2.0,1.0,0.0
27420,20001212X16389,Incident,ANC91IA028,1991-02-13,"UNALASKA, AK",United States,DUT,UNALASKA,Incident,Minor,N672MA,Boeing,737-200,No,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,46.0,VMC,Go-around,Probable Cause,09-03-1993,46.0,0.0,1.0
27495,20001212X16624,Accident,LAX91LA120B,1991-03-02,"MARANA, AZ",United States,,,Non-Fatal,Substantial,N68486,Boeing,A75,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,3.0,VMC,Maneuvering,Probable Cause,31-03-1993,3.0,0.0,1.0
27496,20001212X16624,Accident,LAX91LA120A,1991-03-02,"MARANA, AZ",United States,,,Non-Fatal,Substantial,N803RB,Boeing,A75,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,3.0,VMC,Maneuvering,Probable Cause,31-03-1993,3.0,0.0,1.0
27502,20001212X16583,Accident,DCA91MA023,1991-03-03,"COLORADO SPGS, CO",United States,,,Fatal(25),Destroyed,N999UA,Boeing,737-291,No,2.0,Turbo Jet,Unknown,25.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,05-08-1993,25.0,1.0,0.0
27578,20001212X16572,Accident,CHI91LA110,1991-03-17,"NORTH PLATTE, NE",United States,LBE,LEE BIRD FIELD,Non-Fatal,Substantial,N4968V,Boeing,A75,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,25-01-1993,2.0,0.0,1.0
27608,20001212X16577,Accident,CHI91LA115,1991-03-23,"BUFFALO, NY",United States,NONE,,Non-Fatal,,N7449U,Boeing,727-222,No,3.0,Turbo Fan,Unknown,0.0,1.0,3.0,39.0,VMC,Cruise,Probable Cause,08-02-1993,43.0,0.0,0.9069767441860465
27704,20001212X16833,Incident,MIA91IA117,1991-04-05,"OCHOPEE, FL",United States,TNT,DADE-COLLIER TRAINING,Incident,Minor,N102TN,Embraer,EMB-110P1,No,2.0,Turbo Prop,Instructional,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,05-05-1993,4.0,0.0,1.0
27707,20001212X16773,Accident,DCA91MA033,1991-04-05,"BRUNSWICK, GA",United States,,,Fatal(23),Destroyed,N270AS,Embraer,EMB-120RT,No,2.0,Turbo Prop,Unknown,23.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,05-08-1993,23.0,1.0,0.0
27749,20001212X16879,Incident,SEA91IA081,1991-04-09,"SEATTLE, WA",United States,SEA,SEATTLE,Incident,Minor,N9003U,Boeing,737-222,No,2.0,Turbo Jet,Unknown,0.0,0.0,2.0,31.0,VMC,Takeoff,Probable Cause,05-05-1993,33.0,0.0,0.9393939393939394
27839,20001212X16752,Incident,CHI91IA144,1991-04-25,"CHICAGO, IL",United States,ORD,O'HARE,Incident,Minor,N6815,Boeing,727-223,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,119.0,VMC,Taxi,Probable Cause,31-03-1993,119.0,0.0,1.0
27860,20001212X16856,Incident,NYC91IA133,1991-04-29,"CHURCHVILLE, NY",United States,,,Incident,Minor,N148UA,Boeing,747SP,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,102.0,VMC,Cruise,Probable Cause,03-05-1993,102.0,0.0,1.0
27880,20001212X17092,Accident,NYC91FA125,1991-05-03,"WINDSOR LOCKS, CT",United States,BDL,BRADLEY INTERNATIONAL,Non-Fatal,Destroyed,N425EX,Boeing,727-100QC,No,3.0,Turbo Jet,,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,31-03-1993,3.0,0.0,1.0
27886,20001212X16912,Accident,ATL91LA091,1991-05-04,"MEMPHIS, TN",United States,,,Non-Fatal,,N651US,Boeing,B767-287ER,No,2.0,Turbo Fan,Unknown,0.0,1.0,11.0,104.0,VMC,Cruise,Probable Cause,12-02-1993,116.0,0.0,0.896551724137931
27943,20001212X17121,Accident,SEA91LA102,1991-05-11,"SEATTLE, WA",United States,BFI,BOEING FLD,Non-Fatal,Substantial,N53280,Boeing,A-75,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,08-02-1993,2.0,0.0,0.5
27981,20001212X16909,Incident,ATL91IA094,1991-05-15,"NASHVILLE, TN",United States,BNA,NASHVILLE INTERNATIONAL,Incident,Minor,N882AA,Boeing,727-223,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,138.0,IMC,Approach,Probable Cause,05-05-1993,138.0,0.0,1.0
28098,20001212X17016,Accident,FTW91LA087,1991-05-30,"HORSESHOE BEND, AR",United States,6M2,HORSESHOE BEND,Non-Fatal,Substantial,N4561N,Boeing,A-75,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,31-03-1993,2.0,0.0,1.0
28149,20001212X17381,Accident,SEA91LA126,1991-06-05,"ELKO, NV",United States,,,Non-Fatal,,N304AW,Boeing,737-3G7,No,2.0,Turbo Jet,Unknown,0.0,1.0,0.0,138.0,VMC,Cruise,Probable Cause,12-02-1993,139.0,0.0,0.9928057553956835
28181,20001212X17383,Accident,SEA91LA129,1991-06-08,"AURORA, OR",United States,3S2,AURORA STATE,Non-Fatal,Substantial,N1067N,Boeing,E75,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,08-02-1993,1.0,0.0,1.0
28212,20001212X17241,Accident,DEN91LA082,1991-06-12,"DENVER, CO",United States,DEN,STAPLETON INTERNATIONAL,Non-Fatal,Substantial,N242CA,Boeing,DHC-6-300,No,2.0,Turbo Prop,Business,0.0,0.0,0.0,2.0,VMC,Standing,Probable Cause,24-03-1993,2.0,0.0,1.0
28243,20001212X17180,Accident,BFO91LA055,1991-06-16,"PHILADELPHIA, PA",United States,,,Non-Fatal,,PHBFG,Boeing,747-400,No,4.0,Turbo Fan,Unknown,0.0,1.0,5.0,272.0,VMC,Descent,Probable Cause,13-08-1993,278.0,0.0,0.9784172661870504
28252,20001212X17226,Accident,CHI91LA194B,1991-06-16,"MUNDELEIN, IL",United States,LL09,AIR ESTATES,Non-Fatal,Substantial,N4408N,Boeing,B75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,24-03-1993,4.0,0.0,1.0
28253,20001212X17226,Accident,CHI91LA194A,1991-06-16,"MUNDELEIN, IL",United States,LL09,AIR ESTATES,Non-Fatal,Substantial,N59791,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,24-03-1993,4.0,0.0,1.0
28329,20001212X17369,Accident,NYC91LA156,1991-06-25,"LIMINGTON, ME",United States,63B,LIMINGTON HARMON,Non-Fatal,Substantial,N422S,Boeing,PT-17A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,31-03-1993,1.0,0.0,1.0
28340,20001212X17248,Accident,DEN91LA091,1991-06-26,"VAIL, CO",United States,,,Non-Fatal,Substantial,N45747,Boeing,E75N1,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,05-05-1993,2.0,0.0,0.0
28374,20001212X17330,Accident,LAX91LA283,1991-06-30,"SAN LUIS OBISPO, CA",United States,SBP,SAN LUIS OBISPO,Non-Fatal,Substantial,N68809,Boeing,E75,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-01-1993,1.0,0.0,1.0
28379,20001212X17657,Accident,NYC91LA164,1991-07-01,"NEWARK, NJ",United States,,,Non-Fatal,,N41063,Airbus,A-300-605R,No,2.0,Turbo Fan,Unknown,0.0,2.0,10.0,204.0,IMC,Cruise,Probable Cause,31-03-1993,216.0,0.0,0.9444444444444444
28395,20001212X17651,Incident,NYC91IA165,1991-07-02,"BUFFALO, NY",United States,BUF,BUFFALO,Incident,,N913TS,Boeing,727-254,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,157.0,VMC,Approach,Probable Cause,03-05-1993,157.0,0.0,1.0
28415,20001212X17434,Accident,ATL91LA123,1991-07-04,"ALMA, GA",United States,,,Non-Fatal,,N605DL,Boeing,757-232,No,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,124.0,IMC,Cruise,Probable Cause,30-09-1992,125.0,0.0,0.992
28472,20001212X17522,Accident,DEN91FA098,1991-07-08,"DENVER, CO",United States,DEN,STAPLETON INTERNATIONAL,Non-Fatal,Substantial,N8404,Boeing,707-323C,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,6.0,VMC,Takeoff,Probable Cause,13-07-1993,6.0,0.0,1.0
28540,20001212X17442,Accident,ATL91LA132,1991-07-14,"SOCIAL CIRCLE, GA",United States,18GA,SLEEPY HOLLOW,Non-Fatal,Substantial,N49964,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-02-1993,1.0,0.0,1.0
28825,20001212X17883,Incident,LAX91IA297,1991-08-12,"LOS ANGELES, CA",United States,LAX,LOS ANGELES INTERNATIONAL,Incident,,ZKNZW,Boeing,747-200,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,298.0,VMC,Takeoff,Probable Cause,05-05-1993,298.0,0.0,1.0
